year,selling_price,is_diesel,owner,is_automatic,km_driven,seats,mileage (kmpl),max_horse_power,is_individual_seller,engine_capacity_(cc)
2016,1100000,1,1,0,70000,5,19.67,126.2,1,1582
2016,950000,1,1,0,50000,7,15.4,120,1,1997
2012,225000,1,1,0,60000,5,20,68,1,1399
2011,120000,0,1,0,90000,5,18.6,79.4,1,1199
2018,3400000,1,1,1,22000,5,18,190,-1,1969
2010,300000,1,3,0,166000,8,12.05,120,1,2179
2018,950000,1,1,0,27000,5,22.77,98.59,-1,1498
2012,310000,1,1,0,86000,8,14,112,1,2498
2014,215000,1,2,0,100000,5,25,69.01,1,1396
2012,540000,0,2,0,100000,5,16.8,116.3,1,1497
2018,320000,0,1,0,20000,5,23.01,67,1,999
2008,200000,1,1,0,163000,5,17.8,68,1,1399
2018,335000,0,1,0,30000,5,25.17,53.3,1,799
2012,278000,1,2,0,120000,5,23.59,67.1,1,1364
2013,290000,0,1,1,50000,5,16.95,78.9,1,1197
2018,1100000,1,1,0,50000,7,15.1,152.87,1,2179
2014,400000,0,2,0,70000,5,19.1,85.8,1,1197
2007,130000,0,1,0,78000,5,19.7,46.3,1,796
2011,305000,1,2,0,188000,5,17.8,75,1,1248
2017,1100000,1,1,0,40000,5,21.38,88.7,1,1396
2005,250000,1,3,0,240000,8,12.8,102,1,2494
2009,135000,1,2,0,110000,5,17,71,1,1405
2019,650000,0,1,1,5621,5,22,81.8,-1,1197
2019,5150000,0,1,1,20000,5,22.37,214.56,-1,2487
2017,350000,1,2,0,24000,5,27.28,69,1,1047
2018,690000,0,1,0,25000,5,19,94.68,1,1194
2018,600000,0,1,1,69779,5,22,81.8,-1,1197
2015,430000,0,2,0,35000,5,18.6,81.83,1,1197
2015,455000,0,1,0,42000,5,16.47,74,-1,1198
2018,480000,0,2,0,45000,5,23.84,84,1,1199
2016,950000,1,1,0,60000,7,21.9,98.6,1,1498
2019,5400000,1,1,1,7500,5,16.78,190,-1,1995
2016,290000,0,1,0,15000,5,22.74,47.3,1,796
2015,300000,1,2,0,101500,5,21.14,103.52,1,1498
2008,221000,0,1,0,35008,5,21.79,67.05,-1,998
2016,285000,0,1,0,75000,5,23.95,67.05,1,998
2019,754000,1,1,0,10000,5,28.4,74.02,1,1248
2013,800000,1,1,0,100000,8,12.99,100.6,1,2494
2006,215000,0,3,0,102000,5,16.1,88.2,1,1298
2015,1225000,1,1,0,39000,7,16,140,-1,2179
2018,825000,1,1,0,71500,5,22.54,88.73,-1,1396
2010,285000,1,2,0,80000,5,23,90,1,1396
